Date,StockA,StockB,StockC,StockD
2012-01-02,25.5,12.75,40.2,65.8
2012-01-09,25.75,12.6,40.9,66.2
2012-01-16,25.3,12.9,40.5,65.5
2012-01-23,26.1,12.5,41.2,66.8
2012-01-30,26.5,12.8,41.8,67.1
2012-02-06,26.2,13.1,41.5,66.6
2012-02-13,26.8,12.95,42.1,67.5
2012-02-20,27.1,13.2,42.7,67.9
2012-02-27,26.9,13.0,42.4,67.2
2012-03-05,27.5,13.3,43.0,68.1
2012-03-12,27.2,13.15,42.6,67.7
2012-03-19,27.8,13.4,43.3,68.5
2012-03-26,28.1,13.6,43.9,69.0
2012-04-02,27.9,13.45,43.6,68.7
2012-04-09,28.5,13.7,44.2,69.4
2012-04-16,28.2,13.55,43.8,69.1
2012-04-23,28.8,13.8,44.5,69.8
2012-04-30,29.1,14.0,45.1,70.2
2012-05-07,28.9,13.85,44.8,69.9
2012-05-14,29.5,14.1,45.4,70.6
2012-05-21,29.2,13.95,45.0,70.3
2012-05-28,29.8,14.2,45.7,71.0
2012-06-04,30.1,14.4,46.3,71.5
2012-06-11,29.9,14.25,46.0,71.2
2012-06-18,30.5,14.5,46.6,71.9
2012-06-25,30.2,14.35,46.2,71.6
...,,,,
2024-12-02,105.7,55.2,112.5,155.8
2024-12-09,106.1,55.5,113.1,156.1
2024-12-16,105.4,55.0,112.8,155.5
2024-12-23,106.7,55.8,113.7,156.7
2024-12-30,107.1,56.1,114.3,157.1
2025-01-06,106.8,55.9,114.0,156.8
2025-01-13,107.4,56.3,114.9,157.4
2025-01-20,107.7,56.6,115.5,157.7
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
2025-01-27,107.5,56.4,115.2,157.5
